I0,I1,I2,I3,l5
0.082167928,0.600749,1.933199,0.523211,
0.078664352,0.600749,1.940099,0.522829,
0.075160776,0.600749,1.945276,0.518251,
0.0716572,0.599024,1.945276,0.521303,
0.068153624,0.600749,1.950452,0.526644,
0.064169,0.600749,1.974606,0.507189,
0.064169,0.600749,1.978057,0.497652,
0.064169,0.611101,1.981507,0.492311,
0.064169,0.621453,1.981507,0.47896,
0.064169,0.631805,1.981507,0.462937,
0.064169,0.636981,1.974606,0.4637,
0.064169,0.636981,1.972881,0.467134,
0.064169,0.636981,1.974606,0.466752,
0.064169,0.636981,1.978057,0.466371,
0.064169,0.638706,1.972881,0.466752,
0.064169,0.636981,1.972881,0.466752,
0.064169,0.638706,1.972881,0.466752,
0.064169,0.638706,1.972881,0.466752,
0.064169,0.640431,1.972881,0.466752,
0.064169,0.642157,1.971155,0.466371,
0.064169,0.643882,1.96943,0.466371,
0.064169,0.645607,1.96943,0.466371,
0.064169,0.645607,1.96943,0.466371,
0.064169,0.645607,1.96943,0.466371,
0.064169,0.645607,1.96943,0.465989,
0.064169,0.645607,1.96943,0.465989,
0.064169,0.645607,1.96943,0.465608,
0.064169,0.645607,1.96943,0.462556,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.462556,
0.064169,0.645607,1.96943,0.462556,
0.064169,0.645607,1.96943,0.462556,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.462937,
0.064169,0.645607,1.96943,0.463319,
0.064169,0.645607,1.96943,0.4637,
0.064169,0.645607,1.96943,0.4637,
0.064169,0.645607,1.96943,0.4637,
0.064169,0.645607,1.96943,0.4637,
0.064169,0.645607,1.96943,0.4637,
0.064169,0.643882,1.967705,0.464082,
0.064169,0.642157,1.962529,0.467134,
0.064169,0.640431,1.955627,0.470185,
