I0,I1,I2,I3,I4,I5
0.212010,-0.401650,-1.921122,-0.524702,0.000000,0.000000
0.230532,-0.391298,-1.865912,-0.456800,0.000000,0.000000
0.244236,-0.365419,-1.807252,-0.370586,0.000000,0.000000
0.252275,-0.317110,-1.752042,-0.273691,0.000000,0.000000
0.254191,-0.282604,-1.741691,-0.226007,0.000000,0.000000
0.255262,-0.237746,-1.743416,-0.172601,0.000000,0.000000
0.255590,-0.172185,-1.745141,-0.128731,0.000000,0.000000
0.255573,-0.077293,-1.765845,-0.066932,0.000000,0.000000
0.255573,-0.011732,-1.786548,-0.019247,0.000000,0.000000
0.255569,0.138369,-1.822780,0.077266,0.000000,0.000000
0.255569,0.198755,-1.834857,0.131817,0.000000,0.000000
0.255559,0.267766,-1.848659,0.182553,0.000000,0.000000
0.255399,0.386812,-1.864187,0.314162,0.000000,0.000000
0.255391,0.442022,-1.869363,0.368332,0.000000,0.000000
0.255390,0.498957,-1.872813,0.420976,0.000000,0.000000
0.255387,0.554167,-1.872813,0.469422,0.000000,0.000000
0.255382,0.607650,-1.872813,0.509478,0.000000,0.000000
0.255379,0.654234,-1.869363,0.552585,0.000000,0.000000
0.255373,0.693915,-1.853835,0.583484,0.000000,0.000000
0.255325,0.724971,-1.833131,0.612858,0.000000,0.000000
0.254759,0.766378,-1.769295,0.647953,0.000000,0.000000
0.254346,0.773279,-1.733064,0.654057,0.000000,0.000000
0.253777,0.776730,-1.693382,0.654438,0.000000,0.000000
0.251786,0.776730,-1.605392,0.654438,0.000000,0.000000
0.248847,0.785357,-1.562259,0.654057,0.000000,0.000000
0.245211,0.807786,-1.550182,0.654057,0.000000,0.000000
0.243197,0.818137,-1.550182,0.653675,0.000000,0.000000
0.240886,0.828489,-1.558809,0.653675,0.000000,0.000000
0.234430,0.854369,-1.593315,0.653675,0.000000,0.000000
0.230956,0.864720,-1.608842,0.653675,0.000000,0.000000
0.221810,0.881974,-1.639898,0.653675,0.000000,0.000000
0.217293,0.887149,-1.653700,0.654438,0.000000,0.000000
0.206448,0.888875,-1.667503,0.654438,0.000000,0.000000
0.201999,0.888875,-1.669228,0.657871,0.000000,0.000000
0.197870,0.888875,-1.669228,0.658634,0.000000,0.000000
0.189957,0.895776,-1.669228,0.665120,0.000000,0.000000
0.187391,0.900951,-1.669228,0.665883,0.000000,0.000000
0.185325,0.902677,-1.669228,0.665883,0.000000,0.000000
0.183871,0.906127,-1.672679,0.665120,0.000000,0.000000
0.182976,0.909578,-1.674404,0.665502,0.000000,0.000000
0.182568,0.913029,-1.677854,0.665120,0.000000,0.000000
0.182568,0.914754,-1.677854,0.665120,0.000000,0.000000
0.182568,0.913029,-1.677854,0.664739,0.000000,0.000000
0.182566,0.913029,-1.677854,0.664357,0.000000,0.000000
0.182566,0.913029,-1.677854,0.663976,0.000000,0.000000
0.182566,0.913029,-1.677854,0.663976,0.000000,0.000000
0.182566,0.913029,-1.677854,0.663976,0.000000,0.000000
0.182566,0.913029,-1.677854,0.663976,0.000000,0.000000
0.182566,0.913029,-1.677854,0.663976,0.000000,0.000000
0.182566,0.913029,-1.679580,0.663976,0.000000,0.000000
0.182564,0.913029,-1.683030,0.664357,0.000000,0.000000
0.182565,0.913029,-1.686481,0.664357,0.000000,0.000000
0.182565,0.913029,-1.696833,0.664739,0.000000,0.000000
0.182565,0.913029,-1.705459,0.664357,0.000000,0.000000
0.182565,0.913029,-1.707185,0.664739,0.000000,0.000000
0.182565,0.913029,-1.710635,0.664739,0.000000,0.000000
0.182565,0.913029,-1.712360,0.664357,0.000000,0.000000
0.182565,0.913029,-1.714086,0.664739,0.000000,0.000000
0.182565,0.913029,-1.714086,0.664739,0.000000,0.000000
0.182565,0.913029,-1.715811,0.664739,0.000000,0.000000
0.182565,0.914754,-1.714086,0.665120,0.000000,0.000000
0.182565,0.916480,-1.714086,0.665120,0.000000,0.000000
0.182565,0.916480,-1.714086,0.665502,0.000000,0.000000
0.182565,0.918204,-1.714086,0.665502,0.000000,0.000000
0.182565,0.918204,-1.714086,0.665502,0.000000,0.000000
0.182565,0.918204,-1.714086,0.665883,0.000000,0.000000
0.182565,0.921655,-1.720987,0.668172,0.000000,0.000000
0.182565,0.928556,-1.745141,0.680379,0.000000,0.000000
0.182565,0.942359,-1.788274,0.700597,0.000000,0.000000
0.182565,0.964788,-1.843483,0.723867,0.000000,0.000000
0.182565,0.992393,-1.912495,0.746374,0.000000,0.000000
0.182555,1.057954,-2.085025,0.785666,0.000000,0.000000
0.182552,1.128691,-2.243753,0.784140,0.000000,0.000000
0.182543,1.147670,-2.305864,0.780325,0.000000,0.000000
0.182516,1.156296,-2.355897,0.779943,0.000000,0.000000
0.181818,1.154571,-2.440437,0.760489,0.000000,0.000000
0.181018,1.154571,-2.464591,0.734549,0.000000,0.000000
0.179848,1.152845,-2.485295,0.699834,0.000000,0.000000
0.178357,1.151120,-2.504273,0.666646,0.000000,0.000000
0.176490,1.149395,-2.521526,0.633839,0.000000,0.000000
0.174220,1.147670,-2.535329,0.602558,0.000000,0.000000
0.171697,1.133867,-2.545680,0.575091,0.000000,0.000000
0.168823,1.114889,-2.557758,0.545337,0.000000,0.000000
0.165437,1.092460,-2.562933,0.511766,0.000000,0.000000
0.161375,1.066580,-2.561208,0.473619,0.000000,0.000000
0.156807,1.021722,-2.561208,0.443101,0.000000,0.000000
0.148861,0.959612,-2.542230,0.408768,0.000000,0.000000
0.134375,0.864720,-2.507724,0.384735,0.000000,0.000000
0.117392,0.773279,-2.469767,0.385117,0.000000,0.000000
0.098799,0.683564,-2.423184,0.386642,0.000000,0.000000
0.077954,0.612827,-2.367975,0.387405,0.000000,0.000000
0.067828,0.585222,-2.345546,0.387405,0.000000,0.000000
0.045054,0.524836,-2.298963,0.387787,0.000000,0.000000
0.021582,0.478253,-2.245478,0.387787,0.000000,0.000000
0.005564,0.452374,-2.212698,0.387787,0.000000,0.000000
0.001389,0.428219,-2.195445,0.387024,0.000000,0.000000
0.003164,0.405791,-2.145411,0.387787,0.000000,0.000000
0.003243,0.381636,-2.102278,0.388168,0.000000,0.000000
0.002824,0.373010,-2.085025,0.391602,0.000000,0.000000
0.002558,0.360933,-2.059146,0.370621,0.000000,0.000000
0.002684,0.348855,-2.041893,0.364136,0.000000,0.000000
0.002790,0.340229,-2.038442,0.364899,0.000000,0.000000
0.002767,0.331603,-2.029816,0.364899,0.000000,0.000000
0.002750,0.322976,-2.024640,0.365280,0.000000,0.000000
0.002750,0.317800,-2.022914,0.365280,0.000000,0.000000
0.002750,0.314350,-2.017739,0.365280,0.000000,0.000000
0.002750,0.310899,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.307448,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.309174,-2.014288,0.365280,0.000000,0.000000
0.002750,0.307448,-2.014288,0.365280,0.000000,0.000000
