I0,I1,I2,I3,I4,I5
0.064165,0.640431,1.955627,0.470185,0.000000,0.000000
0.064165,0.642157,1.950452,0.469041,0.000000,0.000000
0.064165,0.642157,1.948726,0.469422,0.000000,0.000000
0.064588,0.642157,1.948726,0.469422,0.000000,0.000000
0.064746,0.642157,1.948726,0.468659,0.000000,0.000000
0.064745,0.640431,1.950452,0.469804,0.000000,0.000000
0.064745,0.635255,1.948726,0.469422,0.000000,0.000000
0.064749,0.633530,1.948726,0.469422,0.000000,0.000000
0.064749,0.633530,1.950452,0.469804,0.000000,0.000000
0.064749,0.633530,1.952177,0.469804,0.000000,0.000000
0.064753,0.633530,1.957353,0.498034,0.000000,0.000000
0.064760,0.628354,1.978057,0.465608,0.000000,0.000000
0.064846,0.635255,1.976331,0.459123,0.000000,0.000000
0.065478,0.636981,1.974606,0.459886,0.000000,0.000000
0.066720,0.636981,1.974606,0.463700,0.000000,0.000000
0.068131,0.628354,1.978057,0.463700,0.000000,0.000000
0.069402,0.616277,1.978057,0.471330,0.000000,0.000000
0.070829,0.607650,1.978057,0.474764,0.000000,0.000000
0.071317,0.609376,1.978057,0.474382,0.000000,0.000000
0.071418,0.614552,1.976331,0.473619,0.000000,0.000000
0.071877,0.619728,1.972881,0.473619,0.000000,0.000000
0.072711,0.616277,1.965979,0.474001,0.000000,0.000000
0.074246,0.623178,1.960803,0.472857,0.000000,0.000000
0.076792,0.633530,1.952177,0.473619,0.000000,0.000000
0.079405,0.636981,1.952177,0.472857,0.000000,0.000000
0.084149,0.638706,1.952177,0.471330,0.000000,0.000000
0.087182,0.628354,1.952177,0.479342,0.000000,0.000000
0.091709,0.612827,1.952177,0.482012,0.000000,0.000000
0.094700,0.609376,1.948726,0.489260,0.000000,0.000000
0.098657,0.609376,1.945276,0.504137,0.000000,0.000000
0.101652,0.609376,1.934924,0.501467,0.000000,0.000000
0.103563,0.611101,1.919396,0.502611,0.000000,0.000000
0.106468,0.619728,1.886616,0.503756,0.000000,0.000000
0.108276,0.624904,1.871088,0.508715,0.000000,0.000000
0.111303,0.636981,1.850384,0.538852,0.000000,0.000000
0.113693,0.636981,1.841758,0.543811,0.000000,0.000000
0.116350,0.636981,1.838307,0.538852,0.000000,0.000000
0.118423,0.633530,1.833131,0.533129,0.000000,0.000000
0.121646,0.621453,1.826230,0.514437,0.000000,0.000000
0.128450,0.600749,1.808977,0.482775,0.000000,0.000000
0.137514,0.574870,1.805526,0.442338,0.000000,0.000000
0.147700,0.540364,1.805526,0.396561,0.000000,0.000000
0.152719,0.524836,1.805526,0.379395,0.000000,0.000000
0.160309,0.495506,1.805526,0.351166,0.000000,0.000000
0.172508,0.436846,1.822779,0.277922,0.000000,0.000000
0.180350,0.385087,1.834856,0.219174,0.000000,0.000000
0.185680,0.347130,1.841758,0.176831,0.000000,0.000000
0.190456,0.293646,1.855560,0.126476,0.000000,0.000000
0.198253,0.186677,1.893517,0.012033,0.000000,0.000000
0.200667,0.133193,1.910770,-0.045569,0.000000,0.000000
0.202643,0.067632,1.929748,-0.101265,0.000000,0.000000
0.203908,0.014147,1.950452,-0.147804,0.000000,0.000000
0.204516,-0.037612,1.964254,-0.197778,0.000000,0.000000
0.204632,-0.091096,1.971155,-0.242792,0.000000,0.000000
0.204628,-0.144580,1.974606,-0.285136,0.000000,0.000000
0.204628,-0.199790,1.972881,-0.318324,0.000000,0.000000
0.204630,-0.253274,1.969430,-0.348843,0.000000,0.000000
0.204633,-0.308484,1.959078,-0.369442,0.000000,0.000000
0.204633,-0.382672,1.948726,-0.370968,0.000000,0.000000
0.204633,-0.441332,1.928023,-0.369823,0.000000,0.000000
0.204633,-0.491365,1.903868,-0.368679,0.000000,0.000000
0.204633,-0.539674,1.874538,-0.367153,0.000000,0.000000
0.204633,-0.586257,1.840032,-0.363338,0.000000,0.000000
0.204633,-0.627664,1.796900,-0.359524,0.000000,0.000000
0.204633,-0.665621,1.745141,-0.356853,0.000000,0.000000
0.204633,-0.698401,1.684755,-0.354183,0.000000,0.000000
0.204633,-0.726006,1.612293,-0.340069,0.000000,0.000000
0.204633,-0.750160,1.538105,-0.318706,0.000000,0.000000
0.204630,-0.776040,1.465642,-0.284373,0.000000,0.000000
0.204595,-0.805370,1.400081,-0.246607,0.000000,0.000000
0.204597,-0.829524,1.341421,-0.210748,0.000000,0.000000
0.204597,-0.850228,1.282760,-0.183282,0.000000,0.000000
0.204600,-0.862305,1.215474,-0.159631,0.000000,0.000000
0.204601,-0.870931,1.146462,-0.149330,0.000000,0.000000
0.204601,-0.870931,1.073999,-0.142464,0.000000,0.000000
0.204601,-0.870931,0.994635,-0.123390,0.000000,0.000000
0.204601,-0.874382,0.944602,-0.093636,0.000000,0.000000
0.204598,-0.881283,0.910095,-0.066932,0.000000,0.000000
0.204598,-0.893360,0.885941,-0.042136,0.000000,0.000000
0.204598,-0.908888,0.872139,-0.015432,0.000000,0.000000
0.204598,-0.938218,0.868688,0.017756,0.000000,0.000000
0.204599,-0.977900,0.875590,0.050944,0.000000,0.000000
0.204599,-1.000329,0.877315,0.052089,0.000000,0.000000
0.204599,-1.010681,0.877315,0.051326,0.000000,0.000000
0.204601,-1.022758,0.880765,0.052089,0.000000,0.000000
0.204601,-1.053813,0.910095,0.051707,0.000000,0.000000
0.204601,-1.091770,0.954953,0.051707,0.000000,0.000000
0.204601,-1.126276,0.996361,0.049800,0.000000,0.000000
0.204601,-1.172859,1.041219,0.047893,0.000000,0.000000
0.204598,-1.228069,1.118857,0.038356,0.000000,0.000000
0.204599,-1.247047,1.148187,0.025003,0.000000,0.000000
0.204599,-1.262575,1.170616,0.012033,0.000000,0.000000
0.204599,-1.279828,1.186144,-0.000937,0.000000,0.000000
0.204599,-1.288454,1.194770,-0.010855,0.000000,0.000000
0.204599,-1.295355,1.198221,-0.021917,0.000000,0.000000
0.204599,-1.302256,1.203397,-0.036414,0.000000,0.000000
0.204599,-1.309158,1.210298,-0.050147,0.000000,0.000000
0.204599,-1.314334,1.218924,-0.055106,0.000000,0.000000
0.204599,-1.319509,1.229276,-0.055106,0.000000,0.000000
0.204599,-1.326411,1.239628,-0.055106,0.000000,0.000000
0.204599,-1.331587,1.248255,-0.055106,0.000000,0.000000
0.204599,-1.331587,1.251705,-0.055488,0.000000,0.000000
0.204599,-1.331587,1.249980,-0.057395,0.000000,0.000000
0.204599,-1.331587,1.249980,-0.058921,0.000000,0.000000
0.204599,-1.335037,1.251705,-0.058921,0.000000,0.000000
0.204599,-1.340213,1.258606,-0.060447,0.000000,0.000000
0.204599,-1.345389,1.263782,-0.060447,0.000000,0.000000
0.204599,-1.348840,1.267233,-0.060447,0.000000,0.000000
0.204599,-1.352290,1.268958,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060447,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.060065,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.059684,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.059302,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.059302,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.059302,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.059302,0.000000,0.000000
0.204599,-1.354015,1.270684,-0.058921,0.000000,0.000000
0.204590,-1.354015,1.270684,-0.058539,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.055869,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.054725,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.055106,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.055106,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.055106,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.055106,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.055106,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.054725,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.054343,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.053580,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.053580,0.000000,0.000000
0.204591,-1.354015,1.270684,-0.053580,0.000000,0.000000
0.204591,-1.352290,1.270684,-0.053580,0.000000,0.000000
0.204586,-1.347114,1.270684,-0.053580,0.000000,0.000000
0.204449,-1.341938,1.268958,-0.053580,0.000000,0.000000
0.204003,-1.336762,1.263782,-0.053962,0.000000,0.000000
0.203157,-1.333312,1.263782,-0.057014,0.000000,0.000000
0.201811,-1.328136,1.262057,-0.057014,0.000000,0.000000
0.200019,-1.324685,1.263782,-0.056632,0.000000,0.000000
0.197895,-1.324685,1.263782,-0.056632,0.000000,0.000000
0.195445,-1.324685,1.265507,-0.056251,0.000000,0.000000
0.192641,-1.322960,1.267233,-0.055869,0.000000,0.000000
0.189608,-1.321235,1.267233,-0.055869,0.000000,0.000000
0.186084,-1.317784,1.267233,-0.056251,0.000000,0.000000
0.182399,-1.316059,1.267233,-0.055869,0.000000,0.000000
